Ora;Temperatura;Umidità
11:10:00;28,7;35,8
11:15:00;28,6;36
11:20:00;28,9;35,1
11:25:00;28,7;35,1
11:30:00;28,8;33,2
11:35:00;28,8;32,4
11:40:00;28,7;32,5
11:45:00;28,7;32,3
11:50:00;28,6;32,6
11:55:00;28,6;32,7
12:00:00;28,6;33,3
12:05:00;28,7;33,2
12:10:00;28,6;33,8
12:15:00;28,7;31,8
12:20:00;28,7;32,9
12:25:00;28,9;33,7
12:30:00;28,9;31,9
12:35:00;29,1;31,2
12:40:00;29,1;31,9
12:45:00;28,9;34,1
12:50:00;29;32
12:55:00;29;31,8
13:00:00;28,9;32,9
13:05:00;28,9;32,7
13:10:00;29,1;32,7
13:15:00;29,2;32,6
13:20:00;29,2;32,3
13:25:00;29,1;32,2
13:30:00;29,2;31,7
13:35:00;29,2;31,9
13:40:00;29,2;33
13:45:00;29,2;35
13:50:00;29,3;35,1
13:55:00;29,3;35,6
14:00:00;29,4;36,6
14:05:00;29,3;37,3
14:10:00;29,4;37,6
14:15:00;29,4;37,4
14:20:00;29,4;37
14:25:00;29,4;37,5
14:30:00;29,5;37,3
14:35:00;29,5;36,4
14:40:00;29,5;36,8
14:45:00;29,4;37,1
14:50:00;29,5;36,9
14:55:00;29,4;36,5
15:00:00;29,4;36,3
15:05:00;29,4;36,1
15:10:00;29,4;36,5
15:15:00;29,4;36,6
15:20:00;29,6;36,6
15:25:00;29,6;34,8
15:30:00;29,6;34,5
15:35:00;29,5;34,9
15:40:00;29,6;34,7
15:45:00;29,6;35
15:50:00;29,6;35,6
15:55:00;29,6;36,1
16:00:00;29,6;36,2
16:05:00;29,6;36,3
16:10:00;29,6;36
16:15:00;29,6;36,6
16:20:00;29,6;36,8
16:25:00;29,6;36,9
16:30:00;29,6;36,1
16:35:00;29,4;36,6
16:40:00;29,5;36,9
16:45:00;29,5;37,5
16:50:00;29,6;38
16:55:00;29,6;38,4
17:00:00;29,6;38,5
17:05:00;29,6;38,9
17:10:00;29,7;38,7
17:15:00;29,7;38
17:20:00;29,6;38
17:25:00;29,7;37,9
17:30:00;29,7;37,9
17:35:00;29,7;37
17:40:00;29,8;36,8
17:45:00;29,8;36,8
17:50:00;29,8;36,6
17:55:00;29,8;36,5
18:00:00;29,7;36,1
18:05:00;29,9;34,3
18:10:00;29,7;34,2
18:15:00;29,8;35,1
18:20:00;29,7;34,9
18:25:00;29,7;35,8
18:30:00;29,8;36,9
18:35:00;29,7;37,2
18:40:00;30;37,8
18:45:00;29,8;38
18:50:00;29,7;38,5
18:55:00;29,7;39,1
19:00:00;29,6;40,1
19:05:00;29,8;40,4
19:10:00;29,9;42,1
19:15:00;29,9;43,6
19:20:00;29,8;43,3
19:25:00;29,8;44
19:30:00;29,8;45,6
19:35:00;29,9;45,6
19:40:00;29,9;45,7
19:45:00;30,1;46,7
19:50:00;29,8;48,7
19:55:00;30;47,6
20:00:00;29,8;48,1
20:05:00;29,6;48,6
20:10:00;29,6;48,6
20:15:00;29,3;50,3
20:20:00;29,6;49,3
20:25:00;29,7;50,3
20:30:00;29,5;51,7
20:35:00;29,1;53,2
20:40:00;29,1;53
20:45:00;29,3;52,3
20:50:00;29,1;53,1
20:55:00;29,2;53,8
21:00:00;29,1;54,2
21:05:00;29;54,9
21:10:00;29;55,1
21:15:00;29;54,4
21:20:00;29,1;53,9
21:25:00;29,2;53,4
21:30:00;29,1;53,6
21:35:00;29,3;52,6
21:40:00;29,1;53,2
21:45:00;29;53,4
21:50:00;29,1;53,1
21:55:00;28,9;53,7
22:00:00;29;53
22:05:00;29,1;53
22:10:00;28,8;54
22:15:00;28,8;53,6
22:20:00;28,7;53,6
22:25:00;28,9;53,3
22:30:00;28,7;53,4
22:35:00;28,8;53,2
22:40:00;28,7;53,3
22:45:00;28,9;52,6
22:50:00;28,8;52,9
22:55:00;28,7;53,2
23:00:00;28,8;53,1
23:05:00;28,8;53,1
23:10:00;28,7;53,2
23:15:00;28,6;53,5
23:20:00;28,6;53,3
23:25:00;28,6;53,5
23:30:00;28,6;53,4
23:35:00;28,5;53,5
23:40:00;28,6;53,5
23:45:00;28,5;53,4
23:50:00;27,9;53,6
23:55:00;28,1;53,2
00:00:00;28,3;52,6
00:05:00;28,2;52,7
00:10:00;28,3;52,3
00:15:00;28,3;51,9
00:20:00;28,5;50,8
00:25:00;28,4;51,5
00:30:00;28;51,3
00:35:00;27,8;51,5
00:40:00;27,6;51,7
00:45:00;27,6;51,8
00:50:00;27,6;51,5
00:55:00;27,5;51,7
01:00:00;27,5;51,3
01:05:00;27,5;50,9
01:10:00;27,5;50,6
01:15:00;28;47,9
01:20:00;28,1;47,5
01:25:00;28,5;45,9
01:30:00;28,6;45,3
01:35:00;28,6;45,3
01:40:00;28,6;45,2
01:45:00;28,6;44,2
