Series;Winery;Bedroom;Kitchen
0;22,9;27;22,9
1;22,8;27;22,9
2;22,8;27,1;22,9
3;22,8;27;23
4;22,8;27;23
5;22,7;26,9;22,9
6;22,7;26,9;22,8
7;22,6;26,9;22,8
8;22,6;26,9;22,7
9;22,6;26,9;22,7
10;22,5;26,9;22,6
11;22,5;26,8;22,5
12;22,5;26,8;22,6
13;22,5;26,8;22,6
14;22,5;26,8;23,2
15;22,4;26,8;23,6
16;22,4;26,8;23,7
17;22,4;26,8;23,7
18;22,4;27;23,6
19;22,4;26,9;23,5
20;22,3;26,8;23,4
21;22,3;26,9;23,4
22;22,3;26,9;23,3
23;22,3;26,9;23,3
24;22,2;26,9;23,3
25;22,1;26,9;23,2
26;22,2;26,9;23,2
27;22,1;26,9;23,3
28;22,1;26,9;23,5
29;22,1;26,9;23,7
30;22;26,9;23,9
31;22;27;24
32;22;27;24,1
33;22;27;24,1
34;22;26,9;24,1
35;22;27;24,1
36;21,9;27;24,2
37;22;27;24,2
38;21,9;26,9;24,2
39;21,9;26,9;24,3
40;21,9;27;24,2
41;21,8;26,9;24,2
42;21,8;27;24,2
43;21,8;27;24,3
44;21,8;27;24,2
45;21,8;27;24,2
46;21,7;26,9;24,2
47;21,8;27,1;24,3
48;21,7;27;24,2
49;21,7;27;24,2
50;21,8;27;24,2
51;21,7;27;24,2
52;21,7;27;24,2
53;21,7;27;24,2
54;21,7;27;24,3
55;21,7;27;24,3
56;21,7;27;24,4
57;21,7;27;24,4
58;21,8;27;24,4
59;21,7;27;24,4
60;21,7;27;24,3
61;21,7;26,9;24,2
62;21,7;26,9;24,2
63;21,7;27;24,1
64;21,7;27;23,9
65;21,7;27;23,7
66;21,8;26,9;23,6
67;21,7;26,9;23,5
68;21,8;26,9;23,5
69;21,9;26,9;23,4
70;21,9;26,9;23,4
71;21,7;27;23,3
72;21,8;27;23,3
73;21,7;27;23,1
74;21,7;27;23,1
75;21,7;27;23
76;21,6;27;23
77;21,6;27;22,9
78;21,6;27;22,9
79;21,6;26,9;22,9
80;21,6;26,9;22,9
81;21,6;26,9;23
82;21,6;27;22,9
83;21,6;26,9;22,9
84;21,6;27;22,9
85;21,6;27;22,8
86;21,6;26,9;22,8
87;21,7;27;22,8
88;21,7;27;22,8
89;21,7;27;22,7
90;21,6;27;22,7
91;21,6;26,9;22,8
92;21,6;26,9;22,8
93;21,6;27;22,8
94;21,6;26,9;22,9
95;21,6;27;22,9
96;21,5;27;22,8
97;21,5;26,9;22,8
98;21,5;26,9;22,8
99;21,5;27;22,7
100;21,5;26,9;22,8
101;21,5;27;22,8
102;21,5;27;22,8
103;21,5;27;22,7
104;21,5;27;22,7
105;21,5;27;22,7
106;21,5;27;22,7
107;21,5;27;22,8
108;21,5;27;22,7
109;21,5;27;22,7
110;21,5;27;22,7
111;21,5;27;22,7
112;21,5;27,1;22,6
113;21,6;27;22,6
114;21,6;26,9;22,7
115;21,6;27;22,6
116;21,6;26,9;22,6
117;21,6;26,6;22,7
118;21,7;26,5;22,7
119;21,7;26,6;22,7
120;21,8;26,8;22,7
121;21,8;26,8;22,7
122;21,9;26,8;22,7
123;22;26,9;22,7
124;22,1;26,8;22,7
125;22,1;26,9;22,7
126;22,1;26,8;22,6
127;22,2;26,8;22,7
128;22,2;26,8;22,7
129;22,2;27;22,7
130;22,2;26,9;22,7
131;22,2;26,9;22,6
132;22,2;26,8;22,8
133;22,2;26,9;22,7
134;22,3;26,9;22,7
135;22,3;27;22,7
136;22,3;26,9;22,6
137;22,3;27;22,5
138;22,6;27;22,5
139;22,9;26,9;22,5
140;23;27;22,4
141;22,9;27,1;22,4
142;22,7;27,1;22,5
143;22,9;27,2;22,7
144;23;27,3;22,7
145;23;27,2;22,9
146;23;27,2;22,8
147;22,9;27,2;22,9
148;23;27,3;22,8
149;23,1;27,3;22,9
150;23,2;27,1;22,9
151;23,1;26,7;22,9
152;23,2;26,6;22,8
153;23,3;26,6;22,7
154;23,3;26,6;22,7
155;23,2;26,5;22,7
156;23,3;26,9;22,8
157;23,4;26,7;22,7
158;23,3;26,6;22,8
159;23;26,7;22,7
160;22,9;27;22,8
161;22,8;27,1;22,9
162;22,8;27,1;23
163;22,9;27,1;23
164;22,9;27,2;23
165;22,8;27,1;23
166;22,9;27;23
167;22,9;27;22,9
168;22,9;27,1;22,7
169;23;27,1;22,7
170;23,2;26,9;22,7
171;23,2;27;22,6
172;23,2;27,1;22,6
173;23,3;26,9;22,6
174;23,2;26,9;22,7
175;23,3;27,1;22,7
176;23,2;27,1;22,7
177;23,2;27,1;22,7
178;23,2;27,1;22,8
179;23,2;27;22,7
180;23,1;27,1;22,7
181;23,1;27,1;22,7
182;23,2;27,1;22,7
183;23,2;27,1;22,7
184;23,2;27,2;22,7
185;23,3;27,2;22,9
186;23,3;27,1;22,9
187;23,3;27,1;23
188;23,4;27,1;22,9
189;23,4;27,2;22,9
190;23,4;27,1;22,9
191;23,3;27,2;22,9
192;23,2;27,2;23
193;23,3;27,1;22,9
194;23,2;27,2;22,9
195;23,3;27,3;22,9
196;23,5;27,4;22,9
197;23,8;27,3;22,9
198;23,7;27,6;22,9
199;23,6;27,6;23
200;23,6;27,5;22,9
201;23,5;27,3;23
202;23,6;27,2;23,1
203;23,6;27,1;23
204;23,5;27,4;23
205;23,5;27,3;23
206;23,5;27,4;23
207;23,5;27,3;23,1
208;23,9;27,3;23
209;23,8;27,5;23
210;23,7;27,7;23,1
211;23,6;27,5;23,2
212;23,6;27,5;23,1
213;23,6;27,3;23,3
214;23,6;27,4;23,3
215;23,7;27,4;23,4
216;23,7;27,7;23,5
217;23,7;28;23,5
218;23,7;27,8;23,6
219;23,7;28,1;23,7
220;23,7;28,2;23,6
221;23,8;28,2;23,6
222;23,8;28,2;23,6
223;23,8;28,1;23,6
224;23,9;28;23,6
225;24,1;28;23,6
226;24;28,1;23,7
227;24,3;27,7;23,7
228;24,2;27,7;23,7
229;24,1;27,6;23,6
230;24,3;27,7;23,6
231;24,3;27,8;23,6
232;24,3;27,4;23,6
233;24,1;27,5;23,6
234;23,8;27,3;23,7
235;23,7;27,6;23,6
236;24,1;27,7;23,6
237;24,2;27,7;23,8
238;24,4;27,4;23,7
239;24,3;27,5;23,7
240;24;27,6;23,7
241;24;27,6;23,7
242;24,1;27,6;24
243;23,9;27,7;24
